Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged
2682631803,"Sep 5, 2019, 5:22:54 PM",Evening Run,Run,"",1317,4.02,22,false,"",activities/2844664671.fit.gz,81.0,,1317.0,1271.0,4022.699951171875,4.699999809265137,,21.0,21.0,5.800000190734863,21.0,22.799999237060547,-0.03977428004145622,,,85.0,80.83622741699219,161.0,145.0,,,283.0,,,22.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,4778236.0,,,,,,,,,,
2695785919,"Sep 9, 2019, 6:07:11 PM",GBBRC Monday run!,Run,Still only 5km. Doctor's orders. ,1635,5.09,23,false,"",activities/2858368855.fit.gz,81.0,,1635.0,1632.0,5094.5,4.900000095367432,,0.0,2.0,70.0,74.80000305175781,10.899999618530273,-0.02748061716556549,,,85.0,81.40361022949219,157.0,142.0,,,347.0,,,23.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,4778236.0,,,,,,,,,,
2695785967,"Sep 9, 2019, 8:13:53 PM",Night Swim,Swim,,1029,54,0,false,,activities/2858368969.fit.gz,,,1029.0,101.0,54.0,3.5999999046325684,,,,,,0.0,0.0,,,,23.0,102.0,102.0,,,13.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2715796979,"Sep 15, 2019, 2:00:13 PM",Afternoon Swim,Swim,,678,216,0,false,,activities/2879120333.fit.gz,,,678.0,221.0,216.0,1.399999976158142,,,,,,0.0,0.0,,,,23.0,80.0,80.0,,,48.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2715797072,"Sep 16, 2019, 6:09:50 PM",GBBRC - 8km,Run,Easing up the distance. Steady pace. ,2562,7.87,50,false,"",activities/2879120576.fit.gz,81.0,,2562.0,2555.0,7878.0,4.300000190734863,,0.0,4.0,73.4000015258789,78.80000305175781,2.799999952316284,-0.05585173889994621,,,86.0,82.07047271728516,169.0,148.0,,,565.0,,,50.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,4778236.0,,,,,,,,,,
2716131831,"Sep 17, 2019, 10:58:23 AM",Lunch Walk,Walk,,1900,2.76,4,false,"",activities/2879464156.fit.gz,,,1900.0,1868.0,2768.800048828125,2.200000047683716,,37.0,36.0,42.0,67.5999984741211,12.800000190734863,-0.20225368440151215,,,80.0,60.188228607177734,128.0,100.0,,,195.0,,,4.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4778236.0,,,,,,,,,,
2732873281,"Sep 19, 2019, 12:55:03 PM",Afternoon Walk,Walk,,2064,2.89,5,false,"",activities/2896845967.fit.gz,,,2064.0,2045.0,2889.0,2.799999952316284,,35.0,31.0,28.799999237060547,55.599998474121094,26.399999618530273,-0.46382832527160645,,,81.0,58.53756332397461,137.0,103.0,,,209.0,,,5.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4778236.0,,,,,,,,,,
2732873486,"Sep 20, 2019, 12:53:17 PM",Afternoon Walk,Walk,,3583,4.02,6,false,"",activities/2896846190.fit.gz,,,3583.0,2702.0,4026.0,2.9000000953674316,,41.0,32.0,28.0,58.79999923706055,27.299999237060547,0.1043219044804573,,,82.0,61.012054443359375,119.0,99.0,,,338.0,,,6.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4778236.0,,,,,,,,,,
2732873665,"Sep 21, 2019, 3:18:27 PM",Afternoon Run,Run,,695,2.25,13,false,"",activities/2896846295.fit.gz,81.0,,695.0,681.0,2258.800048828125,4.699999809265137,,13.0,22.0,45.79999923706055,86.4000015258789,26.600000381469727,-1.6203293800354004,,,86.0,81.0855484008789,159.0,147.0,,,156.0,,,13.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4778236.0,,,,,,,,,,
2732874117,"Sep 22, 2019, 2:03:56 PM",Afternoon Walk,Walk,,5455,7.00,12,false,"",activities/2896846772.fit.gz,,,5455.0,5352.0,7007.2998046875,2.700000047683716,,15.0,73.0,-22.399999618530273,50.79999923706055,8.800000190734863,-1.0274999141693115,,,69.0,59.28250503540039,120.0,95.0,,,451.0,,,12.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4778236.0,,,,,,,,,,
